"Address","Owner_Defendant","Case_Number","Auction_Date","Judgment_Amount","County","Missing","Source"
"392 NW 46 AVE, Deerfield Beach FL 33442","(lookup via bcpa.net or broward.realforeclose.com)","CACE-18-014899","06/30/2026","$174,785.09","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"527 S 28 AVE, Hollywood FL 33020","(lookup via bcpa.net or broward.realforeclose.com)","CACE-22-009441","06/30/2026","$310,779.36","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"870 NW 34 TER, Lauderhill FL 33311","(lookup via bcpa.net or broward.realforeclose.com)","CACE-23-012633","06/30/2026","$171,214.67","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"2120 NW 47 TER, Lauderhill FL 33311","(lookup via bcpa.net or broward.realforeclose.com)","CACE-24-002065","06/30/2026","$257,954.20","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"2625 NE 14 AVE #104, Wilton Manors FL 33334","(lookup via bcpa.net or broward.realforeclose.com)","CACE-24-012970","06/30/2026","$68,369.18","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"814 S DIXIE HWY, Hollywood FL 33020","(lookup via bcpa.net or broward.realforeclose.com)","CACE-25-006667","06/30/2026","$1,016,596.31","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"7400 NW 5 PL, Margate FL 33063","(lookup via bcpa.net or broward.realforeclose.com)","CACE-25-011375","06/30/2026","$27,933.32","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"1775 Eagle Trace Blvd W, Coral Springs FL 33071","(lookup via bcpa.net or broward.realforeclose.com)","CACE-25-013061","06/30/2026","$1,065,028.62","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"606 SW Natura Blvd, Deerfield Beach FL 33441","(lookup via bcpa.net or broward.realforeclose.com)","CACE-25-013913","06/30/2026","$78,067.97","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"10710 W Clairmont Cir, Tamarac FL 33321","(lookup via bcpa.net or broward.realforeclose.com)","CACE-25-015315","06/30/2026","$25,784.91","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=06%2F30%2F2026"
"10275 SW 24 ST, Miramar FL 33025","(lookup via bcpa.net or broward.realforeclose.com)","CACE-24-000407","07/01/2026","$424,052.74","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=07%2F01%2F2026"
"3231 N 47 AVE, Hollywood FL 33021","(lookup via bcpa.net or broward.realforeclose.com)","CACE-24-016458","07/01/2026","$0.00","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=07%2F01%2F2026"
"6201 N Falls Circle Dr #111, Lauderhill FL 33319","(lookup via bcpa.net or broward.realforeclose.com)","CACE-25-006953","07/01/2026","$422,187.99","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=07%2F01%2F2026"
"2900 NW 48 TER, Lauderdale Lakes FL 33313","(lookup via bcpa.net or broward.realforeclose.com)","CACE-25-010260","07/01/2026","$55,362.38","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=07%2F01%2F2026"
"5000 Adams ST, Hollywood FL 33021","(lookup via bcpa.net or broward.realforeclose.com)","CACE-25-011467","07/01/2026","$90,636.89","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=07%2F01%2F2026"
"(see case detail)","(lookup via bcpa.net or broward.realforeclose.com)","CACE-25-017996","07/01/2026","$416,826.11","Broward","Owner name, property address for CACE-25-017996","https://broward.realforeclose.com/index.cfm?zaction=AUCTION&zmethod=DAYLIST&AuctionDate=07%2F01%2F2026"
